Region;Model;Scenario;Variable;Unit;Y2010;Y2015;Y2020;Y2025;Y2030;Y2035;Y2040;Y2045;Y2050;Y2055;Y2060;Y2065;Y2070;Y2075;Y2080;Y2085;Y2090;Y2095;Y2100
BGR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;86.738;96.128;119.240;146.755;178.810;212.243;242.887;268.482;289.035;306.646;323.521;338.174;347.837;352.057;353.496;353.200;351.395;347.912;341.909
BHR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;26.934;35.187;44.720;57.227;72.013;88.684;106.143;122.512;137.333;152.168;167.596;182.027;194.493;204.122;211.205;216.261;219.833;221.741;221.154
BHS;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;9.647;10.852;12.364;13.913;15.577;17.400;19.244;21.071;22.657;24.061;25.282;26.374;27.331;27.979;28.462;28.752;28.843;28.773;28.526
BIH;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;28.065;30.809;37.787;47.037;57.740;69.273;80.304;89.614;96.512;101.533;105.790;108.039;109.080;108.896;107.453;105.156;102.274;99.093;95.538
BLR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;118.671;145.259;176.778;211.172;250.038;292.074;330.894;362.482;385.669;404.928;424.762;443.176;455.985;461.441;462.309;461.472;459.908;456.940;451.145
BLZ;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;2.061;2.266;2.592;3.141;3.903;4.861;5.977;7.218;8.521;9.869;11.223;12.574;13.881;15.116;16.320;17.463;18.516;19.481;20.309
BOL;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;43.190;54.225;68.298;89.307;118.718;156.997;203.564;257.630;317.650;382.615;450.589;520.140;588.911;655.472;720.418;782.093;839.140;891.251;937.632
BRA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1967.541;2303.632;2796.631;3352.735;3996.137;4746.484;5564.084;6401.209;7214.073;8003.391;8752.903;9417.131;9990.134;10500.273;10932.888;11279.240;11525.444;11679.776;11736.066
BRB;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;4.804;5.074;5.608;6.152;6.834;7.613;8.399;9.174;9.865;10.438;10.888;11.256;11.585;11.798;11.936;11.988;11.967;11.870;11.683
BRN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;18.153;20.759;24.275;27.904;31.801;35.814;39.663;43.171;46.380;49.243;51.776;53.833;55.262;56.069;56.479;56.550;56.326;55.777;54.836
BTN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;3.470;5.645;9.745;14.778;21.123;28.792;37.479;46.937;56.626;66.240;75.636;84.540;92.511;99.320;104.872;109.138;112.318;114.530;115.549
BWA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;25.012;30.877;38.707;47.195;56.860;67.517;78.903;90.491;101.945;113.060;123.788;133.693;142.268;149.115;154.457;158.300;160.988;162.633;163.043
CAF;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;3.114;3.811;4.983;6.847;9.860;14.601;21.613;31.519;44.885;62.134;83.485;108.793;137.667;169.452;203.713;239.504;275.889;312.175;347.344
CAN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1201.888;1355.371;1537.669;1689.670;1845.407;2031.119;2237.861;2457.282;2679.576;2907.507;3156.571;3432.186;3722.703;4012.466;4300.718;4573.909;4831.523;5078.940;5318.188
CHE;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;294.115;322.868;358.279;395.329;435.502;480.062;529.457;581.862;634.462;687.146;740.681;794.588;847.373;897.581;944.977;988.718;1029.176;1066.832;1102.079
CHL;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;232.988;294.581;365.612;443.298;529.693;623.966;721.861;818.244;904.435;979.184;1045.724;1106.189;1157.032;1195.228;1223.764;1242.308;1250.616;1248.955;1237.188
CHN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;9121.348;13852.361;20548.481;28870.283;38292.486;47784.223;56255.385;63353.901;68441.845;71441.844;73146.034;73727.083;73350.542;72049.555;70406.708;68308.348;65970.131;63440.417;60660.498
CIV;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;33.443;41.008;59.253;94.175;149.694;229.080;332.450;458.868;604.593;767.184;942.174;1124.891;1308.748;1488.787;1665.306;1835.019;1993.679;2138.837;2266.788
CMR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;40.336;50.073;65.024;88.458;124.026;175.188;243.868;331.538;438.814;566.081;712.204;874.014;1045.072;1218.951;1395.040;1569.146;1737.047;1895.392;2039.167
COD;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;20.876;29.356;44.117;76.517;136.034;237.933;398.470;636.284;966.031;1399.525;1944.800;2601.045;3358.767;4201.616;5110.627;6062.652;7033.325;8003.538;8947.868
COG;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;15.396;22.455;30.143;41.757;57.555;78.402;104.378;135.388;171.163;211.247;254.827;300.218;345.604;389.452;432.079;472.376;509.438;542.589;570.883
COL;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;392.550;491.259;599.464;712.581;871.298;1072.840;1304.330;1554.120;1813.793;2078.494;2342.193;2599.431;2841.601;3061.678;3265.458;3447.534;3600.194;3721.150;3805.960
COM;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;0.723;0.822;1.016;1.419;2.096;3.133;4.582;6.502;8.944;11.971;15.551;19.560;23.801;28.134;32.652;37.337;42.020;46.515;50.658
CPV;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1.723;2.124;2.666;3.386;4.326;5.501;6.855;8.325;9.821;11.282;12.672;14.032;15.332;16.547;17.684;18.741;19.710;20.594;21.370
CRI;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;48.697;60.302;74.678;91.936;112.362;136.335;162.364;188.846;214.092;237.897;260.789;281.909;300.490;316.453;329.965;340.555;348.129;352.460;353.001
CUB;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;64.700;77.441;87.467;100.806;117.094;136.511;157.730;180.641;202.077;220.308;235.693;248.109;257.483;265.131;270.659;273.961;275.144;274.086;270.678
CYP;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;20.867;20.848;22.876;25.378;28.751;32.888;37.453;42.124;46.612;51.127;55.785;60.479;64.894;68.588;71.531;73.681;75.116;75.994;76.251
CZE;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;248.639;286.048;339.277;400.893;473.026;550.978;627.052;694.867;761.578;826.048;892.753;965.874;1038.489;1103.308;1161.343;1214.019;1263.551;1311.930;1358.684
DEU;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;2727.329;2990.490;3195.690;3394.903;3608.195;3869.574;4183.730;4492.942;4775.802;5044.270;5331.660;5617.207;5899.775;6167.396;6418.698;6639.446;6833.404;7008.221;7167.723
DJI;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1.884;2.364;3.164;4.376;6.163;8.603;11.689;15.379;19.589;24.177;29.058;34.132;39.192;44.069;48.760;53.140;57.238;61.047;64.441
DNK;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;180.168;194.443;212.780;231.011;251.253;274.602;300.892;330.199;361.611;393.679;427.113;462.636;500.199;539.710;581.388;624.070;667.141;710.037;753.056
DOM;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;83.260;103.260;127.115;154.133;186.608;224.124;264.918;306.763;347.633;387.056;424.089;458.457;488.659;515.029;538.995;559.658;576.862;589.961;598.552
DZA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;268.295;310.773;376.244;462.689;559.447;657.912;757.912;873.644;1006.329;1152.002;1310.090;1478.760;1640.135;1786.909;1919.868;2039.507;2150.406;2252.568;2337.104
ECU;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;104.160;126.267;149.147;180.831;223.232;276.993;341.124;413.649;491.853;575.035;660.988;746.731;829.850;908.070;982.456;1050.119;1109.012;1158.488;1195.933
EGY;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;449.698;529.107;708.512;949.807;1279.657;1706.976;2211.749;2761.102;3326.028;3908.129;4502.855;5087.408;5630.077;6119.940;6562.203;6960.058;7318.164;7631.883;7881.533
ERI;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;2.573;3.187;3.579;4.636;6.429;9.376;13.979;20.892;30.955;44.987;63.763;87.630;116.237;148.845;185.263;224.921;267.196;310.829;353.961
ESP;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1242.302;1312.088;1396.963;1488.190;1613.352;1763.993;1921.023;2075.757;2237.528;2420.741;2626.935;2843.707;3046.139;3227.378;3403.491;3573.005;3745.194;3916.413;4072.947
EST;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;22.253;27.749;32.863;38.142;43.968;50.195;56.264;61.924;66.857;71.169;76.194;81.789;87.367;92.454;97.324;101.996;106.705;111.688;116.771
ETH;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;77.328;106.964;148.134;209.408;306.751;457.548;680.036;991.958;1406.961;1932.361;2566.970;3305.192;4137.162;5045.681;6003.999;6984.455;7965.905;8937.663;9878.230
FIN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;170.072;190.604;209.750;229.651;252.726;279.186;307.357;334.796;361.822;389.311;418.032;449.562;482.610;516.227;550.343;584.403;618.373;652.914;688.322
FJI;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;3.575;3.902;4.336;5.071;6.195;7.707;9.545;11.659;14.015;16.560;19.208;21.954;24.677;27.271;29.818;32.311;34.748;37.100;39.304
FRA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1921.794;2048.820;2242.855;2469.657;2751.082;3086.826;3453.956;3836.520;4215.719;4601.073;5008.835;5427.100;5843.520;6254.772;6664.435;7067.785;7468.069;7866.144;8257.434
GAB;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;20.490;23.960;27.810;33.598;40.888;49.624;59.670;70.777;82.442;94.307;106.019;117.396;128.076;137.714;146.561;154.268;160.810;166.244;170.467
GBR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;2014.292;2189.418;2484.097;2787.299;3117.233;3481.370;3873.846;4285.175;4682.301;5073.841;5492.781;5944.826;6418.492;6883.047;7339.671;7792.721;8242.714;8698.056;9159.142
GEO;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;20.242;27.221;34.753;43.656;54.346;66.807;79.543;91.321;101.374;109.499;116.356;123.005;128.497;132.154;133.964;135.159;135.899;136.232;135.970
GHA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;36.062;55.153;77.543;110.358;158.720;228.643;321.624;438.635;579.069;744.039;933.211;1142.765;1364.375;1588.798;1816.174;2043.044;2263.852;2473.597;2664.392
GIN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;9.766;13.347;26.010;46.800;79.502;126.084;186.210;258.779;341.872;433.323;529.737;629.265;728.733;825.575;920.794;1013.674;1102.953;1187.882;1266.600
GMB;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;3.169;4.073;5.269;7.194;10.163;14.433;20.194;27.615;36.807;47.819;60.511;74.646;89.835;105.617;121.922;138.534;155.108;171.334;186.717
GNB;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1.612;1.991;2.481;3.433;5.105;7.825;11.835;17.435;24.827;34.151;45.391;58.400;72.836;88.266;104.509;121.232;138.065;154.671;170.556
GNQ;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;21.538;25.047;27.725;33.819;40.671;48.439;57.001;66.215;75.737;85.269;94.775;103.906;112.331;119.627;126.042;131.472;135.909;139.414;141.890
GRC;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;273.897;257.171;291.041;326.023;371.051;421.763;472.882;521.722;568.636;616.181;665.309;714.153;759.733;799.739;836.030;868.743;898.836;926.525;950.939
GTM;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;61.823;70.380;84.241;109.473;145.955;195.437;257.775;333.263;421.044;519.802;626.124;737.700;850.799;962.727;1075.973;1188.189;1296.078;1397.948;1490.786
GUY;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;2.342;3.012;3.685;4.584;5.653;6.963;8.478;10.246;12.217;14.263;16.111;17.701;19.238;20.903;22.503;23.948;25.192;26.290;27.303
HKG;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;294.826;351.593;420.817;481.366;540.342;600.659;656.412;703.613;740.420;769.141;792.529;809.027;817.317;815.011;805.059;788.171;765.884;739.412;708.923
HND;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;26.744;31.172;37.385;47.531;62.881;84.158;111.469;144.950;183.986;227.894;275.427;325.793;377.605;429.512;481.919;533.566;583.407;630.264;672.458
HRV;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;71.255;73.758;81.775;89.860;99.485;110.291;120.707;129.561;136.685;142.914;148.485;153.079;156.492;158.224;158.617;157.963;156.529;154.370;151.091
HTI;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;9.918;12.949;16.940;23.729;34.720;51.334;74.401;104.345;141.007;184.213;233.017;286.336;342.480;399.442;456.969;513.367;567.280;617.870;663.647
HUN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;169.548;177.954;193.977;216.887;245.242;276.269;305.884;334.326;362.479;390.093;418.867;448.976;477.688;505.233;532.985;559.697;584.937;609.062;632.169
IDN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;929.865;1262.296;1752.642;2465.619;3417.516;4637.535;6051.913;7554.434;9086.702;10617.586;12099.521;13477.622;14682.928;15710.191;16581.369;17294.608;17857.888;18279.186;18550.508
IND;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;3653.102;4978.692;6913.935;9624.811;13287.553;18045.823;23739.574;30127.742;36896.745;43907.009;50962.114;57813.277;64146.855;69758.315;74745.955;79032.722;82536.716;85245.884;87096.476
IRL;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;160.981;179.159;202.161;226.063;253.288;281.902;310.235;337.369;364.787;394.635;427.575;462.528;497.912;531.259;564.309;597.628;631.530;666.046;700.225
IRN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;810.315;853.623;974.080;1136.008;1342.300;1589.088;1855.481;2116.231;2352.015;2571.383;2798.728;3035.933;3253.709;3431.532;3575.594;3693.260;3794.091;3876.088;3922.766
IRQ;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;102.337;167.947;251.894;313.331;401.280;508.565;606.776;721.584;849.484;995.057;1163.694;1357.544;1572.154;1805.328;2061.586;2334.979;2618.116;2901.470;3172.541
ISL;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;10.424;12.028;14.071;16.447;19.222;22.293;25.575;28.966;32.334;35.787;39.385;43.250;47.293;51.326;55.294;59.157;62.964;66.786;70.627
ISR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;198.145;245.926;302.377;367.361;443.462;531.696;630.651;736.550;845.769;959.150;1079.641;1210.701;1351.138;1499.200;1655.753;1822.886;2001.747;2193.466;2397.985
ITA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1641.252;1690.428;1800.863;1930.936;2093.958;2285.839;2491.287;2705.840;2925.123;3151.854;3387.717;3620.548;3833.272;4026.632;4214.967;4390.276;4555.164;4707.783;4843.568
JAM;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;18.919;19.906;21.455;23.896;27.324;31.753;37.048;43.045;49.374;55.803;61.798;67.388;72.939;78.138;83.078;87.608;91.734;95.361;98.361
JOR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;31.744;38.951;51.157;70.734;99.540;138.569;187.497;244.771;307.913;375.983;448.477;522.705;594.847;663.578;730.445;791.565;846.799;894.823;933.653
JPN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;3899.299;4130.561;4351.946;4656.490;5022.834;5403.336;5754.023;6107.170;6436.957;6765.862;7085.558;7372.856;7623.650;7829.225;7994.335;8130.774;8245.616;8339.458;8410.109
KAZ;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;178.180;239.059;317.168;429.298;539.508;648.627;743.998;814.502;853.897;877.050;902.373;932.208;954.520;962.281;966.715;968.439;970.256;970.910;965.320
KEN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;60.007;76.752;102.000;140.513;199.306;285.098;403.228;558.681;755.228;996.337;1283.652;1613.237;1974.493;2356.091;2756.137;3167.448;3580.447;3985.359;4368.909
KGZ;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;10.941;14.103;17.742;23.392;31.571;42.607;55.679;70.033;84.702;99.316;114.004;128.802;142.816;154.843;165.757;175.693;184.924;193.278;200.332
KHM;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;27.826;38.277;54.263;74.976;102.551;138.222;181.993;234.146;291.704;354.218;418.362;485.054;552.742;618.426;680.881;738.848;793.015;844.215;891.361
KOR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1320.884;1597.625;1932.057;2290.133;2641.291;2969.303;3254.482;3497.910;3695.944;3867.884;3991.266;4089.675;4182.326;4243.911;4291.452;4320.292;4329.185;4315.338;4289.067
KWT;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;124.857;160.963;195.595;237.310;289.809;348.293;408.226;459.686;503.089;539.322;571.390;597.424;615.234;625.980;635.148;641.785;646.203;647.003;642.209
LAO;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;14.340;20.914;30.172;42.545;59.072;80.352;105.991;135.284;166.953;199.335;231.079;262.183;292.238;320.439;346.288;368.970;388.834;406.611;422.257
LBN;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;53.347;61.970;75.379;91.860;110.966;132.487;155.029;176.633;196.021;213.735;229.354;242.646;253.865;262.372;268.728;272.785;274.899;275.401;273.875
LBR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1.926;2.932;4.650;7.933;13.378;22.285;35.880;55.689;83.026;118.893;163.989;217.839;278.944;345.279;415.869;488.377;560.994;632.109;699.269
LBY;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;99.765;127.813;159.087;194.456;234.748;278.611;321.099;359.376;393.463;427.089;462.495;499.295;533.872;564.516;591.974;616.793;640.481;662.660;679.993
LCA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1.439;1.524;1.719;2.017;2.448;3.008;3.670;4.416;5.210;6.037;6.880;7.724;8.537;9.266;9.936;10.537;11.054;11.480;11.797
LKA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;95.022;132.205;179.881;237.732;310.885;398.264;493.710;591.246;688.870;784.470;878.300;966.635;1040.624;1098.825;1149.260;1194.012;1232.188;1260.876;1276.543
LSO;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;3.119;3.947;4.886;6.383;8.737;12.224;17.131;23.690;32.014;42.102;53.842;66.997;81.202;95.967;110.992;125.680;139.784;153.125;165.319
LTU;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;51.059;61.366;71.844;80.522;89.031;98.089;106.401;112.709;115.974;117.121;118.069;119.811;121.588;122.093;121.420;120.055;118.403;116.998;115.797
LUX;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;34.848;38.656;44.203;49.655;54.876;60.019;65.175;70.055;74.688;79.316;83.905;88.189;91.965;95.152;97.784;100.151;102.792;105.236;107.340
LVA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;28.991;35.415;41.654;48.376;56.255;64.219;71.465;77.709;82.403;85.896;89.569;93.129;95.613;96.851;97.782;97.971;97.605;96.963;95.892
MAC;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;31.329;36.197;40.065;43.443;46.986;50.456;53.497;55.995;57.789;58.955;59.801;60.124;59.662;58.336;56.492;54.164;51.576;49.032;46.440
MAR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;137.293;170.461;224.444;301.042;403.647;534.432;685.827;847.529;1009.167;1166.700;1317.549;1462.523;1595.682;1711.702;1813.534;1902.368;1980.668;2050.661;2106.512
MDA;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;9.951;12.383;15.745;20.625;27.087;34.922;42.874;49.891;55.235;58.888;61.771;64.525;66.404;66.848;66.754;66.214;65.533;64.834;63.972
MDG;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;17.999;20.059;25.494;35.828;53.376;81.495;123.418;183.158;264.705;370.708;502.290;658.455;837.063;1033.234;1245.306;1467.246;1692.961;1917.332;2133.653
MDV;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;2.333;2.791;3.348;4.093;5.095;6.378;7.891;9.542;11.215;12.851;14.492;16.181;17.835;19.339;20.564;21.478;22.123;22.558;22.795
MEX;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;1409.686;1665.237;1946.473;2290.207;2721.745;3236.934;3793.240;4382.180;4993.562;5607.086;6205.251;6789.157;7332.756;7835.509;8306.602;8729.292;9098.227;9407.473;9631.717
MKD;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;18.931;21.849;26.772;33.140;40.901;49.921;59.198;67.916;75.675;82.746;89.229;94.803;99.066;101.810;103.289;103.817;103.552;102.604;100.900
MLI;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;14.860;16.475;22.285;32.523;49.073;74.918;112.900;166.185;237.928;330.607;445.294;581.211;735.117;903.637;1084.881;1275.517;1471.185;1667.840;1859.952
MLT;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;9.442;10.435;11.745;13.398;15.366;17.569;19.653;21.437;22.878;24.037;25.029;25.919;26.674;27.158;27.371;27.347;27.140;26.804;26.347
MMR;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;69.159;91.511;122.894;163.143;214.431;277.170;347.942;424.130;501.736;578.374;652.300;721.620;785.490;841.648;892.353;937.363;977.624;1013.622;1044.437
MNE;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;6.414;7.033;7.945;9.171;10.693;12.426;14.199;15.854;17.340;18.756;20.135;21.318;22.228;22.852;23.255;23.443;23.455;23.315;22.956
MNG;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;9.977;17.665;28.246;42.016;60.209;82.224;105.504;127.824;147.597;164.694;180.400;194.795;206.864;214.884;220.515;224.568;227.832;230.445;231.603
MOZ;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;19.244;27.351;39.304;57.507;85.732;128.690;191.293;279.991;400.980;558.977;756.764;993.203;1264.151;1564.387;1890.628;2233.933;2584.164;2932.373;3268.621
MRT;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;7.624;9.936;13.068;17.188;22.937;30.696;40.495;52.600;67.055;83.667;102.208;122.161;142.729;163.305;183.880;204.052;223.579;242.067;258.939
MUS;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;15.734;19.023;23.714;29.477;36.154;43.523;51.137;58.724;66.158;72.951;79.073;84.512;89.116;93.185;96.822;99.783;102.063;103.718;104.725
MWI;OECD Env-Growth;SSP1;GDP|PPP;billion US$2005/yr;11.854;15.061;20.813;30.640;46.974;73.415;113.895;173.505;258.178;373.542;524.570;714.377;943.954;1210.434;1511.658;1842.318;2195.716;2563.879;2936.041
