naam;code
Wijk23Lekkume.o.;WK008023
Wijk24Blitsaerd;WK008024
Wijk30Oldegalileën&Bloemenbuurt;WK008030
Wijk31TjerkHiddes&Cambuursterhoek;WK008031
Wijk32Vlietzone;WK008032
Wijk33Oranjewijk&Tulpenburg;WK008033
Wijk34Heechterp;WK008034
Wijk35Schieringen&DeCentrale;WK008035
Wijk36Camminghaburen;WK008036
Wijk37GroteWielen&DeGroeneSter;WK008037
Wijk38Bedrijventerreinen-Oost;WK008038
Wijk40AchterdeHoven;WK008040
Wijk41Schepenbuurt;WK008041
Wijk42Wielenpôlle;WK008042
Wijk43Huizum-Oost;WK008043
Wijk44Huizum-West;WK008044
Wijk45Aldlân;WK008045
Wijk46Nijlân;WK008046
Wijk50Hempens/Teernse.o.&Zuiderburen;WK008050
Wijk51Wirdum&Swichume.o.;WK008051
Wijk52Wytgaarde.o.;WK008052
Wijk53Goutume.o.;WK008053
Wijk54Techum;WK008054
Wijk56Wiarda;WK008056
Wijk58DeWerp;WK008058
Wijk60DeZwette;WK008060
Wijk61Vossepark&Helicon;WK008061
Wijk62Vogelwijk&Muziekwijk;WK008062
Wijk63Valeriuskwartier&MagereWeide;WK008063
Wijk64Westeinde;WK008064
Wijk65BuitengebiedNoordwest;WK008065
Wijk69"DeZuidlanden";WK008069
Wijk70Wergea&Wartene.o.;WK008070
Wijk71Reduzume.o.;WK008071
Wijk72Groue.o.;WK008072
Wijk73Jirnsume.o.;WK008073
Wijk00Noord;WK008100
Wijk01Zuid;WK008101
Wijk00Oosterwolde;WK008500
Wijk01Donkerbroek;WK008501
Wijk02Makkinga;WK008502
Wijk03Oldeberkoop;WK008503
Wijk04Haulerwijk;WK008504
Wijk05Appelscha;WK008505
Wijk00Gorredijk;WK008600
Wijk01Langezwaag;WK008601
Wijk02Terwispel;WK008602
Wijk03Beetsterzwaag;WK008603
Wijk04Ureterp;WK008604
Wijk05Bakkeveen;WK008605
Wijk00;WK008800
Wijk00Drachten;WK009000
Wijk01OverigSmallingerland;WK009001
Wijk00West-Terschelling;WK009300
Wijk01Midsland;WK009301
Wijk02Formerum;WK009302
Wijk03Lies;WK009303
Wijk04Hoorn;WK009304
Wijk05Oosterend;WK009305
Wijk00;WK009600
Wijk00Wolvega;WK009800
Wijk01Sonnega;WK009801
Wijk02Helomavaart;WK009802
Wijk03Munnekeburen;WK009803
Wijk04Scherpenzeel;WK009804
Wijk05Oldeholtpade;WK009805
Wijk06Blesdijke;WK009806
Wijk07Steggerda;WK009807
Wijk08Noordwolde;WK009808
Wijk00Assencentrum;WK010600
Wijk01Lariks;WK010601
Wijk02Noorderpark;WK010602
Wijk03AssenOost;WK010603
Wijk04Pittelo;WK010604
Wijk05AssenWest;WK010605
Wijk06Peelo;WK010606
Wijk07Marsdijk;WK010607
Wijk08Kloosterveen;WK010608
Wijk99Buitengebied;WK010699
Wijk10Coevorden;WK010910
Wijk11Steenwijksmoer;WK010911
Wijk12NieuweKrim;WK010912
Wijk13Weijerswold;WK010913
Wijk14VlieghuisenPadhuis;WK010914
Wijk20Dalen;WK010920
Wijk30Oosterhesselen;WK010930
Wijk40Sleen;WK010940
Wijk50Zweeloo;WK010950
Wijk01Nieuw-Weerdinge;WK011401
Wijk02Roswinkel;WK011402
Wijk03Emmer-Compascuum;WK011403
Wijk04Barger-Compascuum;WK011404
Wijk05Nieuw-Dordrecht;WK011405
Wijk06Nieuw-Amsterdam;WK011406
Wijk07Erica;WK011407
Wijk08Klazienaveen;WK011408
Wijk09Zwartemeer;WK011409
Wijk10Schoonebeek;WK011410
Wijk13Veenoord;WK011413
Wijk21Nieuw-Schoonebeek;WK011421
Wijk32Weiteveen;WK011432
Wijk40Emmen-Centrum;WK011440
Wijk41Emmen-CentrumOost;WK011441
Wijk42Emmermeer;WK011442
Wijk43Angelslo;WK011443
Wijk44Emmerhout;WK011444
Wijk45Emmerschans;WK011445
Wijk46Bargeres;WK011446
Wijk47Rietlanden;WK011447
Wijk48ParcSandur;WK011448
Wijk49Delftlanden;WK011449
Wijk50Barger-Oosterveld;WK011450
Wijk51KernEmmenNoord;WK011451
Wijk52KernEmmenZuid;WK011452
Wijk53KernEmmenIndustrieterreinen;WK011453
Wijk50Hoogeveen;WK011850
Wijk51DeWeide;WK011851
Wijke52Fluitenberg;WK011852
Wijk53Elim;WK011853
Wijk54Hollandscheveld;WK011854
Wijk55Noordscheschut;WK011855
Wijk56Nieuwlande;WK011856
Wijk57Nieuweroord;WK011857
Wijk58Tiendeveen;WK011858
Wijk59Stuifzand;WK011859
Wijk60Pesse;WK011860
Wijk61ZuideropgaandeNieuwMoscou;WK011861
Wijk62Industrie-enverspreidegebieden;WK011862
Centrum;WK011900
Watertoren;WK011901
Haveltermade;WK011902
Koedijkslanden;WK011903
Berggierslanden;WK011904
Ezinge;WK011905
Oosterboer;WK011906
Nieuwveenselanden;WK011907
Blankenstein;WK011908
IndustrieterreinNoord;WK011909
IndustrieOevers;WK011910
VerspreidgebiedMeppel;WK011911
Nijeveen;WK011912
Rogat;WK011913
Wijk00Zuid;WK014000
Wijk01Noord;WK014001
Wijk02Mantgum;WK014002
Wijk03;WK014003
Wijk04;WK014004
Wijk10Binnenstad;WK014110
Wijk11DeRiet;WK014111
Wijk12Noorderkwartier;WK014112
Wijk13Sluitersveld;WK014113
Wijk14WierdenseHoek;WK014114
Wijk15Nieuwstraat-Kwartier;WK014115
